Price,Close,High,Low,Open,Volume
Ticker,QQQM,QQQM,QQQM,QQQM,QQQM
Date,,,,,
2021-03-23,126.40240478515625,127.95453591079664,126.27628867282749,127.52770984283893,91100
2021-03-24,124.3652114868164,127.19786514100184,124.3652114868164,127.19786514100184,130400
2021-03-25,124.15177917480469,124.59801845639608,122.58023504306018,123.5988296953133,165200
2021-03-26,126.05316162109375,126.05316162109375,123.5406313567151,124.0935808896201,76200
2021-03-29,125.78155517578125,126.32286272560098,124.61453701209649,125.63603316199149,151900
2021-03-30,125.34498596191406,125.45653652738544,124.20997080012879,125.14126111682616,106300
2021-03-31,127.29485321044922,127.77504167406838,126.08224411859717,126.11134555261306,159400
2021-04-01,129.3999481201172,129.42904955577538,128.59477386140574,128.6820781683803,99100
2021-04-05,132.02890014648438,132.19381322705908,130.3894500834621,130.5252617264271,166500
2021-04-06,131.82998657226562,132.63030544484812,131.59230517442487,131.95124745606157,75600
2021-04-07,132.19378662109375,132.53330825899297,131.41771390219336,131.81545320595373,139000
2021-04-08,133.5615997314453,133.61010705233073,133.07655612730318,133.4354984599705,99800
2021-04-09,134.3571014404297,134.45313914320582,132.75646319258823,133.07657900026962,89100
2021-04-12,134.2503662109375,134.3764822829352,133.5033949267567,134.08545316420904,94400
2021-04-13,135.78314208984375,135.89954784754227,134.8421560754879,134.86156196922425,73400
2021-04-14,134.124267578125,135.9674423681412,133.8235428772041,135.9674423681412,164200
2021-04-15,136.14205932617188,136.29727685950323,135.3077835874642,135.3077835874642,148200
2021-04-16,136.38458251953125,136.4330898494717,135.64246625875444,136.4039884119792,64800
2021-04-19,135.1525421142578,136.12262921595985,134.35706358573202,135.74428103603577,88000
2021-04-20,134.1145782470703,135.26704547114528,133.32105341374498,134.93915842848395,94300
2021-04-21,135.2301788330078,135.31264277577384,133.3870186776781,133.6004390917511,92000
2021-04-22,133.71682739257812,135.46298746057465,133.19298677335777,135.1913642058149,95300
2021-04-23,135.32720947265625,135.8219487805881,133.9962551934865,134.04668683702909,77100
2021-04-26,136.20025634765625,136.27786511098685,135.14771987514322,135.511502626929,71000
2021-04-27,135.51150512695312,136.38457782640293,135.23988185146393,136.38457782640293,86000
2021-04-28,135.0846710205078,135.83164246632305,134.9391638308369,135.49210595394547,98000
2021-04-29,135.6085205078125,136.63682565688256,134.34741864251757,136.57860797487632,105500
2021-04-30,134.6772003173828,135.53088174300896,134.4210899687529,134.6383885422061,151000
2021-05-03,134.0078582763672,135.53090243393456,133.8429452125774,135.24956882919633,155700
2021-05-04,131.74752807617188,132.9698473086077,130.0886874069441,132.9698473086077,179900
2021-05-05,131.18490600585938,132.7758486412061,130.8259784291059,132.59152967940577,100600
2021-05-06,132.1743621826172,132.2034636102856,130.21478217293875,131.08786941005275,96900
2021-05-07,133.31907653808594,134.15335212059833,132.87769988899606,133.43549706746722,177400
2021-05-10,129.9335174560547,132.72737409255987,129.77829990905775,132.72737409255987,169000
2021-05-11,129.74917602539062,130.01110374034496,127.17845060826043,127.50827673680593,145000
2021-05-12,126.36357116699219,128.51232586786895,126.02404948051553,127.70229642857603,210800
2021-05-13,127.29485321044922,128.40075211012402,126.37327326111308,127.50827359480375,105100
2021-05-14,130.17601013183594,130.47673481023338,128.4783574484314,128.78877767045705,106100
2021-05-17,129.31265258789062,129.6424787493029,128.25526088093775,129.47756566859675,70800
2021-05-18,128.40074157714844,130.19540880681208,128.40074157714844,129.85587236800353,95200
2021-05-19,128.6820831298828,128.6820831298828,126.2714154341978,126.32477793653386,100500
2021-05-20,131.07818603515625,131.4186846508171,129.22533061551033,129.22533061551033,73700
2021-05-21,130.3118438720703,131.863974850353,130.2342351028023,131.863974850353,177600
2021-05-24,132.5430450439453,133.02808873971927,131.2334211444121,131.32072545708527,115900
2021-05-25,132.79525756835938,133.48402610414468,132.31506906390265,133.20269248158905,166100
2021-05-26,133.23179626464844,133.38701379690545,132.74675257811424,133.02808620562487,111300
2021-05-27,132.79525756835938,133.33850411933227,132.69728075852586,133.1056926274058,83100
2021-05-28,133.1250762939453,133.78376640086182,133.01836609864293,133.35790257524803,193900
2021-06-01,132.71766662597656,133.8332761165844,132.24233323122291,133.72656590100206,118900
2021-06-02,132.93106079101562,133.29192746207232,132.2520026452867,132.84375648706992,93100
2021-06-03,131.5341339111328,132.21610812745334,130.96178595471136,131.8251630626148,83500
2021-06-04,133.8235626220703,133.97878016878826,132.3393299871849,132.3393299871849,93100
2021-06-07,134.19215393066406,134.22125536025888,133.40638572689417,133.6489075084209,100000
2021-06-08,134.2116241455078,135.24475499601357,133.60046422637777,134.88097214936224,69600
2021-06-09,134.32798767089844,135.12345154815884,134.24650069413448,134.842132748268,138600
2021-06-10,135.6909942626953,135.69584943713676,134.32802245714987,134.55113844603957,90800
2021-06-11,136.02565002441406,136.02952824229226,135.52120045544254,135.81222962224757,71400
2021-06-14,137.27024841308594,137.27024841308594,135.87040447837134,136.24873787649727,60700
2021-06-15,136.52040100097656,137.37408268314599,136.2487777025335,137.37408268314599,60300
2021-06-16,135.9771728515625,137.07337654194214,134.5511429400929,136.74355032085217,134300
2021-06-17,137.69419860839844,138.07253207670718,135.6473137407902,135.6473137407902,136500
