Price,Close,High,Low,Open,Volume
Ticker,VOO,VOO,VOO,VOO,VOO
Date,,,,,
2024-08-15,499.0455017089844,499.2516374539931,495.22691267472,495.81590190341007,4279000
2024-08-16,500.0959167480469,500.74377201713133,497.34731003419483,497.5338238095264,3449300
2024-08-19,504.9058532714844,504.9058532714844,499.7130059953846,500.4983049909868,3804300
2024-08-20,504.0715026855469,506.01512825549986,502.84445423694524,504.483774188224,3156000
2024-08-21,505.8384704589844,507.1734848707398,503.43344337424,505.0236934647531,3344100
2024-08-22,501.7450256347656,508.1256775931137,500.7339389073477,507.55631033462345,3677100
2024-08-23,507.17352294921875,508.04719594149094,502.84452180324126,504.88634747212376,5102800
2024-08-26,505.9268493652344,508.7735660144993,504.4445651503287,508.1355367257147,3398600
2024-08-27,506.60418701171875,507.1048324041512,503.7377584735721,504.817597141333,3031800
2024-08-28,503.70831298828125,506.75136924661496,500.7928446075243,506.32927176010264,3940400
2024-08-29,503.7868957519531,508.57729813286664,502.72670901795277,505.53418174933387,3487100
2024-08-30,508.52813720703125,509.0582604989013,502.7168523462317,505.9562483703659,5637700
2024-09-03,498.2406005859375,505.96609336050005,495.825777459785,505.6617877207395,5866400
2024-09-04,497.0036926269531,500.1743966090499,495.74719621137615,496.39508138839454,3601400
2024-09-05,495.77667236328125,499.59526173950223,493.60725896652445,497.0626168165061,3425600
2024-09-06,487.5210876464844,497.63195488123233,486.69648472656,496.06132687539366,7411400
2024-09-09,493.0084228515625,494.12747540942746,489.59230933714645,491.40834695220013,3656800
2024-09-10,495.0404357910156,495.4429112946436,490.32858152502206,494.6968861761585,2975400
2024-09-11,500.105712890625,501.0677297342999,487.138272257942,495.050278877784,5956900
2024-09-12,504.4052734375,504.6997530748033,498.7313727960713,500.72409822778826,4092900
2024-09-13,507.085205078125,508.0275999751991,504.7881437290929,504.984483488627,4416600
2024-09-16,507.8507385253906,508.086382132752,505.2003620658842,506.8593338035475,4256300
2024-09-17,508.0863952636719,511.1785211844983,506.0347440418528,509.90240287203954,8150000
2024-09-18,506.4372863769531,513.1320707039479,506.0053628747443,508.6656257990849,6921300
2024-09-19,515.27197265625,516.9309445492026,512.6019440009162,515.2425546491194,5558400
2024-09-20,514.2609252929688,515.2818080478771,511.55159269264277,513.8977237400459,5612700
2024-09-23,515.5272216796875,516.1751368270507,514.2118592656677,515.3603598630233,29289200
2024-09-24,517.009521484375,517.1666172461506,513.7701253928715,516.3518402574448,4650600
2024-09-25,515.959228515625,517.6182007196525,515.0168934791504,516.9408674549434,35418000
2024-09-26,518.0108032226562,520.1900125848978,515.8413599201872,519.9446028865656,5273900
2024-09-27,517.3402099609375,519.6936506487082,516.2964333527217,519.0240637775081,5598600
2024-09-30,519.59521484375,519.8808155295454,514.1990927954649,516.2965028823518,8013000
2024-10-01,514.7406005859375,519.0338659192496,512.2690010175648,518.9747864917691,9198700
2024-10-02,514.8292236328125,515.8335738489774,511.62895792098533,513.864179564776,3270600
2024-10-03,513.8544311523438,515.7450330137334,511.86532350684195,513.5786870782091,4008000
2024-10-04,518.5907592773438,518.955092401537,514.3072907695295,518.1082072063858,5354400
2024-10-07,513.9232788085938,517.6749726606348,512.8401359509694,517.1038915690165,3970500
2024-10-08,518.7877197265625,519.3096381152048,515.4890079947544,516.296466948164,2626700
